toplistindex,id,name,subs,views,uploads,countryCode,contentCategory,meantbu,mediantbu,
186,UC0WP5P-ufpRfjbNrmOWwLBQ,The Weeknd,16.2M,849511164,66,CA,None,-35.48979591836735,0,
187,UCucot-Zp428OwkyRm2I7v2Q,James Charles,16.2M,1761678751,238,US,None,-15.625,19.5,
188,UCN9HPn2fq-NL8M5_kp4RWZQ,Sia,16.1M,222862453,62,US,None,-56.53061224489796,15,
189,NONE,Porta dos Fundos,16.1M,5292702195,1231,BR,None,NONE,None,
190,UC4LHNX8d8RqnDX0OezgmCTg,TheWillyrex,16M,5703801574,5611,ES,None,36.06122448979592,96,
191,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3,15.9M,4280064353,258,IN,NULL,5.142857142857143,-4,
192,UC0ebPa2q1rwZVN7dYemunUQ,Erlania e Valentina Pontes,15.9M,4442181231,715,BR,None,1.163265306122449,33,
193,UCGRtuAmEObNSmlOLDWzZfVg,Caeli,15.9M,1452604184,516,MX,None,-37.1875,14.0,
194,UComP_epzeKzvBX156r6pm1Q,AdeleVEVO,15.8M,8458811203,31,GB,None,20.37142857142857,0,
195,UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,15.8M,5852062381,2340,US,None,15.122448979591837,42,
196,NONE,Post Malone,15.7M,1379630143,30,US,None,NONE,None,
197,UCWwqHwqLSrdWMgp5DZG5Dzg,Troom Troom,15.7M,5239655360,1050,US,None,13.816326530612244,23,
198,UCwppdrjsBPAZg5_cUwQjfMQ,Charlie Puth,15.7M,6048556983,85,US,None,13.204081632653061,0,
199,UC57XAjJ04TY8gNxOWf-Sy0Q,5-Minute Crafts KIDS,15.6M,3191064881,2153,US,None,7.326530612244898,11,
200,UCZkURf9tDolFOeuw_4RD7XQ,Demi Lovato,15.6M,399508221,189,US,None,-53.51020408163265,-68,
201,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,15.6M,3256039424,1695,CA,None,25.229166666666668,-71.5,
202,UCy7whoHQXzhYxp9AQmrPFVw,Totoykids,15.5M,6960633402,770,BR,None,1.7346938775510203,-28,
203,NONE,IndiaTV,15.5M,5397029790,142457,IN,None,NONE,None,
204,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,15.4M,8622304115,4353,US,None,37.791666666666664,212.5,
205,UC-SV8-bUJfXjrRMnp7F8Wzw,Roman Atwood Vlogs,15.4M,5146147687,1644,US,None,17.551020408163264,-6,
206,UCR5wZcXtOUka8jTA57flzMg,netd müzik,15.4M,32182429869,11221,TR,None,14.63265306122449,107,
207,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,15.3M,13739002012,117,US,None,-33.38775510204081,-40,
208,UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,15.3M,3272120960,130,US,None,-7.081632653061225,-28,
209,UCDPM_n1atn2ijUwHd0NNRQw,Coldplay,15.2M,9413828387,212,GB,None,-24.653061224489797,0,
210,UCjK8ORC71kwyj1DWFwril_A,SelenaGomezVEVO,15.2M,7540579769,128,US,None,0.3673469387755102,29,
211,UCAuUUnT6oDeKwE6v1NGQxug,TED,15.2M,1608749267,3141,US,None,-17.791666666666668,-218.5,
212,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,15.2M,2044672846,149,IN,None,14.040816326530612,96,
213,UCU_yU4xGT9hrVFo6euH8LLw,SlivkiShow,15.1M,2724148534,293,UA,None,7.791666666666667,-32.5,
214,UChMJkHCD2wdvSO7CMOuLR-w,Renato Garcia,15.1M,2231737357,1944,BR,None,22.875,34.0,
215,UCozAuGJZ5MPoijz8IE_1Gtw,قناة طيور الجنة | toyoraljanahtv,15.1M,12661211602,2504,JO,None,-37.6530612244898,-186,
216,UC_W0_Nv-3rxpWVvosddhrPw,Doggy Doggy Cartoons,15.1M,5480029261,2084,ES,None,0.7142857142857143,4,
217,NONE,Michael Jackson,15.1M,260268,1,US,None,NONE,None,
218,NONE,goldmines,84,645,1,NULL,None,NONE,None,
219,UCEUf_uUDUfJJ3XfgwOxm-0A,Cia. Daniel Saboya,15M,4394832872,894,BR,None,-3.795918367346939,23,
220,UC6E2mP01ZLH_kbAyeazCNdg,Brave Wilderness,14.9M,2867075822,553,US,None,0.20833333333333334,-34.0,
221,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,14.9M,1694253213,366,GB,None,11.833333333333334,80.0,
222,UC8rNKrqBxJqL9izOOMxBJtw,Willyrex,14.9M,3849635103,5092,ES,None,25,-23.5,
223,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,14.9M,7576581603,492,US,None,71.55102040816327,162,
224,UCfm4y4rHF5HGrSr-qbvOwOg,IISuperwomanII,14.9M,3170286728,780,CA,None,-14.520833333333334,76.5,
225,UCHDeuavvkVwDyJgRFVfbpXA,JukiLop,14.9M,1026317651,80,MX,NULL,-5.510204081632653,6,
226,UCgtNC51EUSgcZ6kKyVoPxKA,Becky G,14.8M,35741030,56,US,None,22.836734693877553,-7,
227,UCcartHVtvAUzfajflyeT_Gg,Miss Katy,14.8M,7453024163,674,GB,None,-3.3469387755102042,171,
228,UCCI5Xsd_gCbZb9eTeOf9FdQ,Like Nastya,14.7M,4687647110,237,RU,None,-0.1836734693877551,-52,
229,UC7eHZXheF8nVOfwB2PEslMw,ashish chanchlani vines,14.7M,1478026690,132,IN,None,-23.897959183673468,9,
230,UCPDis9pjXuqyI7RYLJ-TTSA,FailArmy,14.7M,1135325254,265,US,None,23.229166666666668,34.0,
231,UCFkoPRmuxqr37jvGmmpzhzQ,MalumaVEVO,14.7M,12611053155,111,US,None,1.6734693877551021,0,
232,UCNL1ZadSjHpjm4q9j2sVtOA,Lady Gaga,14.7M,115932877,163,US,None,-38.770833333333336,-23.5,
233,NONE,NULL,1,0,0,US,NULL,NONE,None,
